country,Energy absorbed by pumping,Energy supplied,Exports,Imports,Total net production
AL,0,7683,2685,1771,8596
AT,5116,69418,19129,28076,65587
BA,50,5118,3820,1487,7502
BE,1347,85192,4308,21635,69212
BG,425,33473,10030,2223,41705
CY,0,4791,0,0,4791
CZ,1372,66687,25480,11573,81967
DE,8347,514966,80187,31701,571799
DK,0,34163,10409,15633,28939
EE,0,8937,4949,3053,10834
ES,3197,268975,12915,24017,261071
FI,0,87360,2611,22548,67423
FR,7331,481085,76094,12826,551685
GB,3390,333092,2224,21332,317375
GE,214,12853,602,1522,12148
GR,28,57199,2186,8705,50708
HR,118,18537,7292,12692,13256
HU,0,44098,4265,18613,29749
IE,499,28707,1649,1621,29234
IT,2233,321910,3270,47179,280234
LT,726,12089,3215,12847,3183
LU,1717,6608,1391,7553,2164
LV,0,7408,4264,5172,6500
ME,0,9981,868,7106,3743
MK,0,7123,5341,7261,5203
MT,0,2509,10,631,1888
NL,0,118412,18157,24018,112551
NO,1021,135674,18488,8339,146845
PL,660,159130,8121,13815,154096
PT,1565,53862,8326,5668,58085
RO,0,56178,6239,3695,58722
RS,1067,34279,6293,6400,35241
SE,56,141001,31671,14441,158287
SI,252,14529,9432,8930,15284
SK,401,26997,8746,12427,23717
TR,0,288675,3073,2466,289282
UA,0,156020,4639,1587,159072
